Artist Name,Title,Thumbnail,Label,Genre,master release date
The Showmen Inc,The Tramp (From Funky Broadway),https://i.discogs.com/P67XYMpQIAELY40WlGMi3sZXf2hbXExzxQADbWTc9t8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0Nzcw/NC0xNDc1NTU0NDQy/LTU1MzcuanBlZw.jpeg,Now Records,Funk / Soul,1968
Don Thompson (5),Foxy Lady,https://i.discogs.com/pz7oXn8BAM5lLI8hjyAgNkPOxk0thmYr1njVR0tpXMc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwOTc2/MTYtMTM1NTE0NzU2/MC04Nzc4LmpwZWc.jpeg,Babylon (3),Funk / Soul,1973
Black Cat (7),Lovin' You / Kingston Cardova,https://i.discogs.com/OX3IIdTz99rbYTWFqjSqn5ii1_rKwP11ky45roB_NJg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMzA1/ODAtMTQzMjYyNzQz/NS00MjIxLmpwZWc.jpeg,Peripheral Enterprises,Funk / Soul,2008
Tony Roman / Nanette Workman,Hey Joe,https://i.discogs.com/4469_xWiul8BdqIIBoKqTb8FKHpusqD5FyljR0hHba0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2NjM4/MDYtMTQ2ODUwNTQx/Mi04NDE1LmpwZWc.jpeg,Canusa,"Rock, Funk / Soul, Pop",1967
Lee Dorsey,Working In The Coal Mine / Mexico,https://i.discogs.com/w66qY_3maPWKUk19KlpgD6xvNFj5kJyUJzYW4uz-lOg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MjE1/NTgtMTI4MjAyMTYw/Mi5qcGVn.jpeg,,Funk / Soul,1966
El Shobey & Co.,Whole Thing / Never Missed What You Got,https://i.discogs.com/IeMyLMmVkQmxEco3kqqFRG-d5Owt7_X7fwP4huGsSro/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4Mzkx/Ni0xNzM5Njc5ODM5/LTY2NDUuanBlZw.jpeg,,Funk / Soul,1972
"Ernie And The Top Notes, Inc.",Dap Walk / Things Are Better,https://i.discogs.com/eovv9UA2o7xk4K7DdLld7C92utW2BT_xDptCbHETCPQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMzI3/NTctMTM4OTU0MDY0/Ny0xNDYyLmpwZWc.jpeg,,Funk / Soul,1972
The Four Seasons,"December, 1963 (Oh, What A Night)",https://i.discogs.com/8bI9Yo89UzT66uwFnxyUotK0x37imbCa2YX6hg_qOWo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTAz/ODAxLTE1NDgxMDg2/OTEtMjg2Ni5qcGVn.jpeg,,"Rock, Pop",1975
The Four Seasons / Frankie Valli,"Oh What A Night (December, 1963) (Ben Liebrand Re-Mix 1988)",https://i.discogs.com/9wG3IZRd2szrSKfWXjlf8anxlc1KHekzfI9QEgImlsM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzODMy/NjctMTM1MTE4Njc1/NC01NzU3LmpwZWc.jpeg,BR Music,"Electronic, Pop",1988
Unknown Artist,Add Rhythm To Your Own Melody Volume 1 - Dance Time,https://i.discogs.com/Lgtt2MRI4h03ukPL3uaSNzfTMzNnRIh0VVS0rJxUpvQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NDI1/OTEtMTUyOTMzNDU4/NC03Nzc3LmpwZWc.jpeg,"Ad-Rhythm, Ad-Rhythm",Latin,1966
Unknown Artist,Add Rhythm To Your Own Melody Volume 2 - Latin American,https://i.discogs.com/ZLyap1lwslLvnqfq12V7CmceMpLssbT9uOG4IgAYRMc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5ODI1/NzctMTY1NDgyNjI4/OS00Njg4LmpwZWc.jpeg,"Ad-Rhythm, Ad-Rhythm",Jazz,1966
Unknown Artist,Add Rhythm To Your Own Melody Volume 3 Pop Time,https://i.discogs.com/KNW3NF-vDGL5STN5Go0ao6MbJXc61fHokOIGuw4NnZU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzNzc3/MTUtMTM5MTg4ODA0/OC0yMTk2LmpwZWc.jpeg,Ad-Rhythm,"Latin, Pop",1967
Gorgeous George,Fon-Kin / Love Serenade,https://i.discogs.com/v904lt_jd53kei6nVwt-Hje90aaX_kvQBnFPX8LSNYU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzE4/NDgtMTU1NzY5MjA4/Ny0yMjQxLmpwZWc.jpeg,HoMark Records,"Funk / Soul, Pop",1976
Mashmakhan,Dance A Little Step,https://i.discogs.com/9j41wF64TG0mr-8n0oLfKTXjKP8K2-nnRwmUf7SkFD8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MzYz/MjAtMTU4Mzk1NDQ1/Mi02MTIzLmpwZWc.jpeg,,"Rock, Pop",1973
April & Ian Douglas,People's People / I Can Count On You,https://i.discogs.com/5HtzEHF5zwse4CKL4hodjBqASh9spI83EG-vdhGg7tM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0ODE3/ODktMTM5NDEzMTY2/MC0xNTM3LmpwZWc.jpeg,,"Rock, Funk / Soul",1972
Assagai,Telephone Girl / I'll Wait For You,https://i.discogs.com/r-hdv3P7uxgfL7jATLIqCAaOzibG3LF33w3rOYYjcRc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMDQ5/ODItMTM1NTQwNTkw/Ni04OTA0LmpwZWc.jpeg,,Funk / Soul,1971
Rogier Van Otterloo,Let's Go To Randstad,https://i.discogs.com/uciX7EbtFfnM4r70_dovybE9ujmC82s4EWahzNAGBQ8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNTkx/MDUtMTU2MzMxMTc0/MS03NjQyLmpwZWc.jpeg,,"Jazz, Funk / Soul, Non-Music, Classical, Stage & Screen",1974
Beth Moore,Put Your Hand In The Hand,https://i.discogs.com/JGT0B49B8EWMGmuxqmlYYpcbnYIUntqMDHatWQTScLM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NDA1/ODYtMTM5MDEzODA2/NS01ODEyLmpwZWc.jpeg,,"Folk, World, & Country",1971
Allison Durbin,Put Your Hand In The Hand,https://i.discogs.com/m7qP0QcY-YOy-F4TaLI2ssobD28I_IVfZ_V3asV1QLI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY5MTEy/NDEtMTY3NzY3MTg5/MC03Mzk5LmpwZWc.jpeg,Columbia,Pop,1971
Electric Max Band,Max On My Mind,https://i.discogs.com/eRxj0w7ldx9En2hIl1M8_nvJHFGCBqKUUHAHBnq7Cgg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MTI2/MzgtMTQ0NTU4MTgw/OC0yMjg1LmpwZWc.jpeg,"Reprise Records, WEA Filipacchi Music","Rock, Funk / Soul",1973
3 Hür-El,Gönül Sabreyle Sabreyle / Küçük Yaramaz,https://i.discogs.com/Pj56nEJueqlX6jivqaNKpqxm2sT1uSxoQgPCRoxADpg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxNjY1/MTYtMTQwMzYyMTM4/Ni0xNzI4LmpwZWc.jpeg,Diskotür,"Folk, World, & Country",1975
Lorez Alexandria,Baltimore Oriole,https://i.discogs.com/ALyN6-fqGX0bBA8UiUHVrmYNjtD4Eo0heFgmSM6DObw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzMTE1/MS0xMzY5NDE0MDAz/LTQ5OTAuanBlZw.jpeg,Jazzman,"Jazz, Funk / Soul",2004
Ohio Players,Funky Worm / Paint Me,https://i.discogs.com/D5mdhJ1nQfEvZWHahZJQATpsB11wwexieiKE5PEDzxA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0NjMw/My0xMTc1OTQ1NzQw/LmpwZWc.jpeg,,Funk / Soul,1973
Swithold,Slow Burner / Waitin' For You,https://i.discogs.com/IZgu6k352IDBBakW-jmEhK5JAK5qSNS5SXzAY7cEHOQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwNzE1/MDAtMTU0NDY2Mzgw/Mi02NzgyLmpwZWc.jpeg,Pork (3),Rock,1975
Mal,"Sole, Pioggia E Vento ",https://i.discogs.com/lbtJQZSImeM0xhWpdQO3ps7E679XzajAOTxPpwJmcEk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5MDEz/ODctMTU4NTk2NDUz/OC01ODAwLmpwZWc.jpeg,,Pop,1970
Cads,Don't Know My Tomorrow / Get Out Of My Life Woman,https://i.discogs.com/Qt9JEB606RbG9sjFdaU9vpvrp-3_HHXmukM7C5J3htI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NzM1/OTktMTU0ODI1MzQw/Ny01NDcyLmpwZWc.jpeg,Sweden Records,"Rock, Pop",1968
Supersister (2),Radio,https://i.discogs.com/SRZT3WT9yARcVLgQ9x1DJYrCBEecNohb5QgtT3T2EDc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNDk0/NDEtMTQ1OTk0ODMw/My01OTM0LmpwZWc.jpeg,Polydor,"Jazz, Rock, Pop",1972
Preacher (5),Life Is A Gamble,https://i.discogs.com/s_Ohi5gBtCXBvNiHXEn-x_7CicJ7ZFz0v53x5he2P0k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTcx/OTUtMTI2NDk1NjQ2/Ni5qcGVn.jpeg,"Column, Column",Funk / Soul,1973
Owen Gray,Groove Me ,https://i.discogs.com/u8d6ifOydYrQbg3p1-x2wA5Gw78o1M7WsOCOkRumIpU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MzU0/NTgtMTIzMzYwOTQx/OS5qcGVn.jpeg,Camel,Reggae,1970
John Phillips Soul & His Stone Marching Band,The Soul Strut / That Memphis Thing,https://i.discogs.com/pDPE4LkMNtbuiGWe4IbEm-ETH-CfZAIBEN5aIc-xsCk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0NjQ5/NS0xNTcwMTI0OTIy/LTkwOTcuanBlZw.jpeg,Pepper (2),Funk / Soul,1968
Richard Caiton,I Like To Get Near You / It's Been A Long Time,https://i.discogs.com/Z7SKXQRvPwRJl44gjinasNArAxIzFjl9qdsqjpVUARk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5MjU1/MzUtMTUxNzcyODQ5/Ny04OTY0LmpwZWc.jpeg,Up-Tight,Funk / Soul,1968
The U-F-O's,Too Hot To Hold / La-La Means I Love You,https://i.discogs.com/T9w5M4GV8nPtdU0hdNABIOrez5GamGtlnRvP8F3ZPqs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTM3/NDktMTMxNjQxNjQy/OC5qcGVn.jpeg,Rising-Soul,Funk / Soul,1968
Lee Rogers,You Won't Have To Wait Till Xmas,https://i.discogs.com/0BSXCc_cVWkOtGTG_YSpnSkVZszZRF8XkAW-003mAW0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNDQ2/NDgtMTMxNzgyODM1/MC5qcGVn.jpeg,D-Town Records,Funk / Soul,1965
Parla Şenol,İsmail / Şu Başıma Gelenler,https://i.discogs.com/XDqEL5NFUrg0CT6kPWFgGHI9Sv2Ze9CPlL9JAHraKUs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgyNzIy/MjItMTYyMjk4MTk3/My01OTM3LmpwZWc.jpeg,Ezgi Plâkları,"Funk / Soul, Folk, World, & Country",1976
The Alfred Studio Jazz-Rock Ensemble,Alfred's  Stage Band Convertibles,https://i.discogs.com/mJJ7cP9uVEQhw007A0afcttZc-azMiklcw6TbkGoCbY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMjc4/ODUtMTM0NTgzMzQ3/Mi02NDYzLmpwZWc.jpeg,Alfred Music Co. Records,Jazz,
Marva Hodge / Moody Sect,Let The Sun Shine In / 00-43-GM,https://i.discogs.com/jgPy0ve6tPRZvLkY41_ke3Hfu66BRifBiBRRKxw-zTQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1OTQ2/MzgtMTQ5Njc0NTA1/NC04ODA4LmpwZWc.jpeg,"Philips, Philips",Funk / Soul,1969
Elmer Parker / The Nite Lighters,Going To New York ,https://i.discogs.com/Tv_usHTkFI-Z7N-7undDBbId08I0kTcPH5R5IgTTtY4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzEz/MTQ4LTE1NzI5MDUw/ODQtNzYzNS5qcGVn.jpeg,Blue Jay Records (10),Funk / Soul,
Чарівні Гітари,Васильковое Платье,https://i.discogs.com/Iae_CbH6T6Vw9axCEFLdW7lfCdx-nKmbXXrFKKfDBgM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyNDc5/NTgtMTQ3ODI0Mjg0/MS0yOTI5LmpwZWc.jpeg,Мелодия,"Funk / Soul, Pop",1979
Benny Sharp / The Sharpees,Music (I Like It),https://i.discogs.com/Af2wHhpafsTbY9eL9J3Z3wQav-u_e5pTA3D9gpy-6bs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTE4/ODQtMTQ4MDg4NjUy/OS0zMTk3LmpwZWc.jpeg,Midas Records,Funk / Soul,1969
Les Crane,Desiderata / A Different Drummer,https://i.discogs.com/-9j6KmQSh0jNyANNcWlsI-7Sv2ff252qug930pzv3kA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NjM2/NzktMTM2NjUyMDM5/Ni01NjE1LmpwZWc.jpeg,Warner Bros. Records,"Electronic, Rock",1971
The Rolling Stones,Get Off Of My Cloud,https://i.discogs.com/M_qTmUo0_-GkjEKSTiVACWgp5qzUF_6aTM45mqqyjVk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0MjM5/ODMtMTcxNTE4OTQz/Mi0zMzI1LmpwZWc.jpeg,Decca,Rock,1965
Lee Dorsey,"Get Out Of My Life, Woman",https://i.discogs.com/Id0ukH6PhduCTPnH14487XOzzf6v04gJ6P2FlcSjkr0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzQy/MjQtMTcxNzcwMTcx/NC0yMTY0LmpwZWc.jpeg,Stateside,Funk / Soul,1965
The Beginning Of The End,Funky Nassau,https://i.discogs.com/lmFm5PdoJub6X2ABSh23DT3zDrVyqm4g3H2hXrvXq9o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxOTcw/OC0xNDUzNzY4MjYy/LTI0NDMuanBlZw.jpeg,,Funk / Soul,1971
Spanky Wilson,You / Sunshine Of Your Love,https://i.discogs.com/e1Nb0-eYSmVxjKcAtjSZkzrQ1mFYKKGZ4Mb8n-9zbyU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3NTc0/OS0xMTMzNDY1OTc5/LmpwZWc.jpeg,BGP Records,Funk / Soul,2003
Fox (3),S-s-s-single Bed,https://i.discogs.com/H2UB1s544YL1gzf04F2BRucPH48H9d6lkseAXzdoiaE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4ODA5/OS0xNjU3MjM5MTY0/LTcwMjkuanBlZw.jpeg,GTO,"Rock, Pop",1976
Sky (4),The Animals (Part One),https://i.discogs.com/kN3X8zNSkksg9fWyVWAVrwNOo2BrQV0SKx6hx-qHWFM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNTYw/MTc4LTE1NTY1MTg1/NDAtNDI4MS5qcGVn.jpeg,Arista,"Jazz, Rock",1983
Avant House Band,Scorpio ,https://i.discogs.com/tZ7p4OwRKzedL72MYmtIfnixEyWsI6k0W3eKlaiaAq0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMjI4/MDUtMTI1OTA5OTcz/MS5qcGVn.jpeg,Avant Records (2),"Jazz, Funk / Soul",
Lefties Soul Connection,Fais Do-Do,https://i.discogs.com/nIxUmdgPumLism3H9wxAcXOByA9lkq_yEAym8oeLX2Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1MDk3/NS0xNTQ1MDgzMzU3/LTI4MTEuanBlZw.jpeg,Melting Pot Music,Funk / Soul,2007
The Duke Of Burlington,Flash,https://i.discogs.com/fHU7rHdWPh42UznuCPtA0rVjsVGWaAGGt5y7sUyae0Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDMx/NTEtMTIyNDY5Nzg2/OS5qcGVn.jpeg,"Signal (5), Signal (5)","Jazz, Funk / Soul",1969
Uma (31),Pretty Lady/Woman,https://i.discogs.com/E077fWhNOc8Rat5ZMOjSEFESMTfpsUgAPp8QSrI_SQY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxMjI0/ODMtMTUyMzkyNTI0/OS0yMzgzLmpwZWc.jpeg,Uma-Lin Records,"Funk / Soul, Pop",1984
The Brothers (2),Brothers Groove / Funky Paella,https://i.discogs.com/ik9_VEpC229y4m1z9eZ_AYMkDyYSOz3b64uEVpOeo9g/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk2MTIz/MTItMTQ4MzY0MDkw/OC05NDMxLmpwZWc.jpeg,Columbia,Funk / Soul,1971
White Cloud Orchestra,This Is Soul - Top Hits Vol. 3,https://i.discogs.com/1DZCUthZAo8YaqyhOORvFmi0nayYTR8YNhvyNP3IdFo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY1ODA0/MDgtMTY0MjczMDE4/MC0zNzM4LmpwZWc.jpeg,White Cloud (3),"Funk / Soul, Pop",1969
Virginia Vee,Je Ne Veux Plus Te Voir Ici,https://i.discogs.com/xjmCuNUShoc6hcsE_b_rrn5z8OZ92Zt5Kqmc3lFEsl4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzMTkx/NDUtMTQ0Mjk2Njc4/MC01NDc4LmpwZWc.jpeg,La Voix De Son Maître,"Jazz, Rock, Funk / Soul, Pop",1965
Frank Miller Y Su Hispania Soul,Sicodelico / Hippy / Quiero / Melenas Club,https://i.discogs.com/qcYwCknjs2Ctl-OxTOQrhsKBaVM3kYsFMHJRtxFvJJc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1Mzk0/MTAtMTM4NTU3NTIz/MS04MjQxLmpwZWc.jpeg,Sandiego,Funk / Soul,1969
Valérie Lagrange,I Love You So / Si Ma Chanson Pouvait,https://i.discogs.com/3eIJHYaN08uwBRrC0Wx3MIeeP0R_RHekbN9WqYq4b-Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NDI1/NDUtMTM4NzI4Nzkx/Mi02MzM3LmpwZWc.jpeg,"BYG Records, BYG Records",Rock,1971
Filippo Trecca,"Anna, Una Donna / Col Fiato In Gola",https://i.discogs.com/3ECS_cv8Tf7_VWM-jNDYs5cXqA6CQSoLR7KvMnsPHDg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzMjc5/OTItMTUxMTA4Nzkz/NS00MjYxLmpwZWc.jpeg,"Cetra, Cetra",Stage & Screen,1978
Truman Thomas,Respect / Funky Broadway,https://i.discogs.com/MGrAsbmIRkvS9Jbh6BVqJrkn1XqXWTUDo9-q3Sr9by4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5NzMw/OTQtMTQ3Njg5NDMy/Ny0zNzkxLmpwZWc.jpeg,Veep,Funk / Soul,1968
Leone Di Lernia,Gaccia Ad'Ave,https://i.discogs.com/WiOCPTGu0Y_ihcFWWmyQQWjUAvKNAuMMfCZDgjaSzbw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNTU0/MzAtMTU0NDc4OTE4/NS04OTQ1LmpwZWc.jpeg,Alpharecord,"Funk / Soul, Pop",1975
Orchestra Di Enrico Simonetti,Blue Frog,https://i.discogs.com/cc5yeZSUpzS4JL08hUhuShpuY2h-82AthDwkt3J3e_8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNTQ2/NzctMTc2NDc5MjQ5/NS0zMzEyLmpwZWc.jpeg,Harmony,"Electronic, Rock",1975
Laurence Thomas,Why Do Young Kids Stray,https://i.discogs.com/wKpEloRmaV5Ry1n1QeZWynCV0iZQYza8jjRo0J9WbSU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NTUz/NTYtMTU5NDk4Nzkw/NC0yNzY4LmpwZWc.jpeg,"Soul ""O"" Sonic Records",Funk / Soul,1974
Steve Colt,Dynamite / Take Away,https://i.discogs.com/ZSzDvPWtscguCgMSHTGOwNx4RKnVlFNS-ZfNsQyGZzM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwNTUx/MjgtMTM1Mzc0ODY4/OC01ODAwLmpwZWc.jpeg,Big Beat Records (10),Funk / Soul,1967
Backyard Heavies,Chitlin' Strut / Humpin',https://i.discogs.com/9m9y1Jde2r1ioZtBrbHdhZMog8MQVEyFepaK94yecNw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5MzIy/MDQtMTQxMTQ5MjI0/My04OTAwLmpwZWc.jpeg,Scepter Records,Funk / Soul,1972
Tommy Roe,Stir It Up And Serve It,https://i.discogs.com/uO8jlQLFQsb10LdgndVjAULMGRlMGGtd580gI8ypCuo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTQ0/NjctMTYxMjEzNzcw/Ny02ODE2LmpwZWc.jpeg,,"Rock, Pop",1970
The Soul Surfers (2),Summer Madness Pt.1 & 2,https://i.discogs.com/fAVPNh-sXsxH_UjfqOqnr_pXxcZ8i_XlZrNEiuF5oAU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MDU1/NzIwLTE1NjY5NjMy/OTAtNjAwMy5qcGVn.jpeg,Ubiquity,Funk / Soul,2019
Harvey & The Phenomenals,Soul & Sunshine / What Can I Do,https://i.discogs.com/B3hXTSmVg6JuljIhXBG0tDVkEqS5R1pQjwe_clRPHws/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwNjg2/Mi0xMzIyNjQ4Mjc2/LmpwZWc.jpeg,Funk45,Funk / Soul,1971
The Montereys / The Devastations,Get Down / Congestion,https://i.discogs.com/oQKvVxDyPwEoatg1Hv-Xir_q07wtFDzhgCDTvguhu9U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1ODMx/OC0xMTY2MTE3NDQ2/LmpwZWc.jpeg,Funk45,Funk / Soul,2006
Unknown Artist,I Want To Be Somebody's Baby,https://i.discogs.com/lYYubAAU8yVUUEumse0UsoLZlN7YnLzyk2rwtM6PHnw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5NTg0/NzAtMTQwNzM4MzA1/Mi0zNTc1LmpwZWc.jpeg,Hoctor Records,Funk / Soul,
